name,description
Tuscan Wood Fired Pizza,Live rustic smoked thin crust pizzas with a variety of toppings — Sun Kissed Tomatoes and Farmhouse Special
Live Pasta Station,Freshly prepared pasta — Penne Fusilli Spaghetti — with choice of Pesto Arrabiata or Alfredo sauce
Sushi Station,Live Japanese sushi preparation — Nigiri Maki and California Rolls with wasabi and pickled ginger
Dim Sum Station,Live steamed and pan-seared dumplings — vegetable and protein options with dipping sauces
Shawarma Station,Live carved shawarma served in pita bread with minted labneh and Moroccan pickled vegetables
Mexican Cuisine Station,Live tacos enchiladas quesadillas and nachos with guacamole salsa and sour cream
Live BBQ Grill,Assorted vegetables and proteins grilled live with herbs and spices served with sauerkraut
Schezwan Wok Station,Live stir-fry counter — choose your vegetables protein and sauce (Kungpao Mapo or Hotpot)
Crepe Station,Live thin French pancakes with selection of fillings and sauces — sweet or savoury
Italian Risotto Station,Live creamy risotto prepared with choice of seasonal accompaniments and Parmesan
